FULL NAME,NICKNAME,GENDER,DATE OF BIRTH,PHONE NUMBER,PROGRAM SELECTED,BRANCH,CHECKLIST A,CHECKLIST B,CHECKLIST C,CHECKLIST D,CHECKLIST E,ADMISSION STATUS,PERUBAHAN,,,
Participant 1165,Participant 1165,Wanita,30/05/1998,85000001165,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1166,Participant 1166,Wanita,30/12/1971,85000001166,Vocal - Singer,Solo  (Open Class),No,No,Yes,No,Yes,Yes,,,,
Participant 1169,Participant 1169,Wanita,09/09/1988,85000001169,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
participant 1172,participant 1172,Wanita,11/05/1982,85000001172,Vocal - Singer,Magelang,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1175,Participant 1175,Pria,06/10/1974,85000001175,Vocal - Singer,Semarang,No,No,No,Yes,Yes,Yes,,,,
Participant 1176,Participant 1176,Wanita,10/05/1962,85000001176,Vocal - Singer,Solo (Open Class),Yes,No,Yes,Yes,Yes,No,,,,
Participant 1182,Participant 1182,Pria,01/09/1985,85000001182,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,No,Yes,Yes,,,,
PARTICIPANT 1183,PARTICIPANT 1183,Wanita,08/07/1972,85000001183,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 1185,Participant 1185,Wanita,22/03/1988,85000001185,Vocal - Singer,Surabaya,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1186,Participant 1186,Wanita,18/12/1999,85000001186,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1189,Participant 1189,Wanita,03/02/2002,85000001189,Vocal - Singer,Solo (Open Class),Yes,No,Yes,No,Yes,Yes,,,,
Participant 1191,Participant 1191,Wanita,06/02/1986,85000001191,Vocal - Singer,WoNot Completedgiri,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1192,Participant 1192,Pria,13/11/1988,85000001192,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1194,Participant 1194,Wanita,29/06/1990,85000001194,Vocal - Singer,Semarang,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1195,Participant 1195,Pria,16/02/2002,85000001195,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1196,Participant 1196,Pria,22/10/1983,85000001196,Vocal - Singer,Surabaya,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1213,Participant 1213,Wanita,30/12/1971,85000001213,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1218,Participant 1218,Wanita,17/01/1976,85000001218,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1220,Participant 1220,Wanita,24/01/1985,85000001220,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1228,Participant 1228,Pria,06/01/1976,85000001228,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1229,Participant 1229,Wanita,18/09/1999,85000001229,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1237,Participant 1237,Wanita,17/05/1987,85000001237,Vocal - Singer,Madiun,Yes,No,Yes,Yes,Yes,No,,,,
Participant 1238,Participant 1238,Wanita,23/10/1982,85000001238,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1243,Participant 1243,Wanita,30/12/1971,85000001243,Vocal - Singer,Solo  (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1244,Participant 1244,Wanita,30/12/1971,85000001244,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1250,Participant 1250,Wanita,08/02/1988,85000001250,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1251,Participant 1251,Wanita,17/02/2002,85000001251,Vocal - Singer,Surabaya,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1236,Participant 1236,Pria,11/11/1998,85000001236,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,No,,,,
Participant 1262,Participant 1262,Pria,24/04/1972,85000001262,Vocal - Singer,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1263,Participant 1263,Wanita,10/05/1981,85000001263,Vocal - Singer,Solo (Open Class),No,Yes,No,Yes,Yes,Yes,,,,
Participant 1264,Participant 1264,Wanita,23/08/1984,85000001264,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,No,,,,
Participant 1268,Participant 1268,Wanita,08/02/1988,85000001268,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1274,Participant 1274,Wanita,04/08/1999,85000001274,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,No,Yes,Yes,No,,,,
Participant 1280,Participant 1280,Wanita,09/07/1975,85000001280,Vocal - Singer,Semarang,Yes,No,No,Yes,Yes,Yes,,,,
Participant 1291,Participant 1291,Pria,19/01/2002,85000001291,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1292,Participant 1292,Wanita,25/06/1999,85000001292,Vocal - Singer,Semarang,Yes,Yes,Yes,No,No,Yes,,,,
Participant 1293,Participant 1293,Wanita,06/06/1978,85000001293,Vocal - Singer,Semarang,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1297,Participant 1297,Wanita,23/03/1992,85000001297,Vocal - Singer,WoNot Completedsari,Yes,Yes,No,Yes,No,No,,,,
participant 1299,participant 1299,Wanita,29/10/1989,85000001299,Vocal - Singer,Pekalongan,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1300,Participant 1300,Wanita,22/07/1988,85000001300,Vocal - Singer,Solo  (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1301,Participant 1301,Pria,21/11/1988,85000001301,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 1302,Participant 1302,Pria,17/01/1995,85000001302,Vocal - Singer,Solo  (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1305,Participant 1305,Wanita,19/01/1992,85000001305,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2726,Participant 2726,Wanita,29/06/1982,85000002726,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,Yes,,,,
Participant 2730,Participant 2730,Pria,03/04/1983,85000002730,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2735,Participant 2735,Wanita,06/10/2000,85000002735,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 2737,Participant 2737,Pria,02/06/1996,85000002737,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2746,Participant 2746,Wanita,27/08/1982,85000002746,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 2751,Participant 2751,Wanita,19/05/1975,85000002751,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2753,Participant 2753,Wanita,22/11/1997,85000002753,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
participant 2755,participant 2755,Wanita,25/02/1981,85000002755,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1313,Participant 1313,Wanita,27/07/1972,85000001313,Vocal - Singer,Nias,Yes,Yes,Yes,No,No,Yes,,,,
Participant 1317,Participant 1317,Wanita,02/08/1990,85000001317,Vocal - Singer,Madiun,Yes,No,No,Yes,Yes,No,,,,
PARTICIPANT 1318,PARTICIPANT 1318,Wanita,03/10/1990,85000001318,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,No,Yes,,,,
Participant 1319,Participant 1319,Wanita,31/03/2001,85000001319,Vocal - Singer,Solo (Open Class),Yes,No,No,Yes,Yes,Yes,,,,
Participant 1320,Participant 1320,Pria,27/03/1998,85000001320,Vocal - Singer,Jakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2761,Participant 2761,Wanita,24/04/1979,85000002761,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 2762,Participant 2762,Pria,14/03/1968,85000002762,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,No,No,,,,
Participant 2768,Participant 2768,Pria,15/04/1984,85000002768,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2770,Participant 2770,Wanita,24/08/1997,85000002770,Vocal - Singer,Yogyakarta,No,Yes,Yes,No,Yes,Yes,,,,
Participant 2771,Participant 2771,Wanita,11/02/1984,85000002771,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 1327,Participant 1327,Wanita,19/08/1990,85000001327,Vocal - Singer,Madiun,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1328,Participant 1328,Wanita,29/03/1976,85000001328,Vocal - Singer,Solo (Open Class),Yes,Yes,No,Yes,Yes,No,,,,
Participant 2772,Participant 2772,Wanita,25/06/1984,85000002772,Vocal - Singer,Yogyakarta,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 1329,Participant 1329,Wanita,23/09/1999,85000001329,Vocal - Singer,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1330,Participant 1330,Wanita,16/03/1986,85000001330,Vocal - Singer,Nias,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1333,Participant 1333,Wanita,22/04/1997,85000001333,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2777,Participant 2777,Wanita,08/10/1997,85000002777,Vocal - Singer,Yogyakarta,Yes,No,Yes,No,Yes,Yes,,,,
Participant 1340,Participant 1340,Pria,14/11/2000,85000001340,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2783,Participant 2783,Wanita,29/05/2001,85000002783,Vocal - Singer,Yogyakarta,No,No,Yes,Yes,Yes,Yes,,,,
Participant 2785,Participant 2785,Wanita,04/08/1999,85000002785,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2787,PARTICIPANT 2787,Wanita,09/11/1999,85000002787,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,No,No,,,,
Participant 2791,Participant 2791,Wanita,28/05/1997,85000002791,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2793,Participant 2793,Wanita,30/08/1993,85000002793,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2798,Participant 2798,Pria,19/01/1990,85000002798,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2797,Participant 2797,Wanita,07/12/1996,85000002797,Vocal - Singer,Yogyakarta,No,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 2799,PARTICIPANT 2799,Wanita,20/09/1977,85000002799,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2800,Participant 2800,Wanita,11/06/1996,85000002800,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 2801,Participant 2801,Pria,05/01/1993,85000002801,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,Yes,Yes,Yes,,,,
participant 2806,participant 2806,Wanita,20/08/1985,85000002806,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 1347,Participant 1347,Pria,15/02/2000,85000001347,Vocal - Singer,Yogyakarta (Open Class),Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 1357,Participant 1357,Pria,16/10/2004,85000001357,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 1363,Participant 1363,Pria,29/08/1987,85000001363,Vocal - Singer,Yogyakarta (Open Class),No,Yes,No,Yes,Yes,No,,,,
Participant 1366,Participant 1366,Wanita,04/05/1986,85000001366,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 2732,Participant 2732,Wanita,21/01/1992,85000002732,Vocal - Singer,Yogyakarta,Yes,Yes,No,No,Yes,Yes,,,,
Participant 297,Participant 297,Pria,05/07/1998,85000000297,Vocal - Singer,Jakarta,No,No,No,Yes,Yes,Yes,,,,
Participant 321,Participant 321,Wanita,21/07/1990,85000000321,Vocal - Singer,Solo,Yes,Yes,Yes,No,No,Yes,,,,
Participant 382,Participant 382,Pria,17/04/1974,85000000382,Vocal - Singer,Solo,Yes,Yes,Yes,Yes,Yes,No,,,,
Participant 519,Participant 519,Wanita,25/12/1998,85000000519,Vocal - Singer,Solo ,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 605,Participant 605,Wanita,24/11/2001,85000000605,Vocal - Singer,Yogyakarta,Yes,Yes,Yes,No,No,Yes,,,,
Participant 645,Participant 645,Wanita,30/05/1982,85000000645,Vocal - Singer,Solo,Yes,No,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 686,PARTICIPANT 686,Wanita,28/06/1995,85000000686,Vocal - Singer,Solo,Yes,Yes,Yes,No,Yes,Yes,,,,
Participant 737,Participant 737,Wanita,06/08/1998,85000000737,Vocal - Singer,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
PARTICIPANT 776,PARTICIPANT 776,Pria,23/09/1976,85000000776,Vocal - Singer,Bali,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Participant 802,Participant 802,Wanita,26/12/1987,85000000802,Vocal - Singer,Solo,Yes,Yes,No,Yes,Yes,Yes,,,,
Participant 82,Participant 82,Pria,15/05/1995,85000000082,Vocal - Singer,Yogyakarta,Yes,No,Yes,Yes,Yes,Yes,,,,
Participant 931,Participant 931,Pria,14/12/1999,85000000931,Vocal - Singer,Solo (Open Class),Yes,Yes,Yes,No,Yes,No,,,,
Participant 961,Participant 961,Pria,28/07/1988,85000000961,Vocal - Singer,Solo (Open Class),No,Yes,Yes,Yes,Yes,Yes,,,,
